key	category	source	built-in-simplified	runtime-target
cosmetic.Casual_Chest_12.description	Cosmetics	Ember-red wool keeps hearth warmth close around the collar.	余烬红羊毛将炉火暖意紧紧留在衣领周围。	余烬红羊毛将炉火暖意紧紧留在衣领周围。
cosmetic.Casual_Chest_12.name	Cosmetics	Red Sweater		红色毛衣
cosmetic.Casual_Chest_14.description	Cosmetics	Plum-dyed stitches lend this sweater the hush of twilight inns.	梅紫染线为这件毛衣带来黄昏旅店般的静谧。	梅紫染线为这件毛衣带来黄昏旅店般的静谧。
cosmetic.Casual_Chest_14.name	Cosmetics	Purple Sweater		紫色毛衣
cosmetic.Casual_Chest_15.description	Cosmetics	Rose-pink knitwork spreads gentle hearthlight through cold morning errands.	玫瑰粉针织布料在寒冷清晨的差事中散发柔和炉光。	玫瑰粉针织布料在寒冷清晨的差事中散发柔和炉光。
cosmetic.Casual_Chest_15.name	Cosmetics	Pink Sweater		粉色毛衣
cosmetic.Casual_Chest_16.description	Cosmetics	Ash-grey wool suits thoughtful wanderers on clouded days.	灰烬色羊毛适合在阴云天气中沉思的旅人。	灰烬色羊毛适合在阴云天气中沉思的旅人。
cosmetic.Casual_Chest_16.name	Cosmetics	Grey Sweater		灰色毛衣
cosmetic.Casual_Chest_17.description	Cosmetics	Fuzzy eyes peek from this monster top with harmless little fangs.	毛茸茸的双眼从这件怪物上衣探出，配上毫无威胁的小尖牙。	毛茸茸的双眼从这件怪物上衣探出，配上毫无威胁的小尖牙。
cosmetic.Casual_Chest_17.name	Cosmetics	Monster Top		怪物上装
cosmetic.Casual_Chest_18.description	Cosmetics	Moss-green thread brings forest color to a fireside winter layer.	苔绿色线材把森林色彩带进炉边的冬日衣层。	苔绿色线材把森林色彩带进炉边的冬日衣层。
cosmetic.Casual_Chest_18.name	Cosmetics	Green Sweater		绿色毛衣
cosmetic.Casual_Chest_19.description	Cosmetics	Chestnut wool grounds this sweater in country-lodge warmth.	栗色羊毛让这件毛衣充满乡间旅舍的温暖。	栗色羊毛让这件毛衣充满乡间旅舍的温暖。
cosmetic.Casual_Chest_19.name	Cosmetics	Brown Sweater		棕色毛衣
cosmetic.Casual_Chest_20.description	Cosmetics	Black knit fabric steadies the silhouette in candlelit rooms.	黑色针织布料稳住烛光房间中的整体轮廓。	黑色针织布料稳住烛光房间中的整体轮廓。
cosmetic.Casual_Chest_20.name	Cosmetics	Black Sweater		黑色毛衣
cosmetic.Casual_Chest_21.description	Cosmetics	Pastel patterns crowd this sweater with shamelessly adorable spellcraft.	柔和图案挤满这件毛衣，充满毫不掩饰的可爱魔法。	柔和图案挤满这件毛衣，充满毫不掩饰的可爱魔法。
cosmetic.Casual_Chest_21.name	Cosmetics	Cute Sweater		可爱的毛衣
cosmetic.Casual_Chest_22.description	Cosmetics	Deep plum wool wraps the wearer in inn-room warmth.	深梅色羊毛将穿戴者包裹在旅店房间般的暖意中。	深梅色羊毛将穿戴者包裹在旅店房间般的暖意中。
cosmetic.Casual_Chest_22.name	Cosmetics	Plum Sweater		梅子色毛衣
cosmetic.Casual_Chest_23.description	Cosmetics	Canary fleece makes this hoodie impossible to misplace during market mischief.	金丝雀黄抓绒让这件连帽衫在市集恶作剧中绝不可能被弄丢。	金丝雀黄抓绒让这件连帽衫在市集恶作剧中绝不可能被弄丢。
cosmetic.Casual_Chest_23.name	Cosmetics	Yellow Hoodie		黄色连帽衫
cosmetic.Casual_Chest_24.description	Cosmetics	Tangerine fleece glows like lanternlight across rainy streets.	橘色抓绒宛如灯笼光般照亮雨中街道。	橘色抓绒宛如灯笼光般照亮雨中街道。
cosmetic.Casual_Chest_24.name	Cosmetics	Orange Hoodie		橙色连帽衫
cosmetic.Casual_Chest_25.description	Cosmetics	River-blue jersey settles into a steady wayfarer mood.	河水蓝针织布料带来沉稳的行路者气息。	河水蓝针织布料带来沉稳的行路者气息。
cosmetic.Casual_Chest_25.name	Cosmetics	Blue Hoodie		蓝色连帽衫
cosmetic.Casual_Chest_26.description	Cosmetics	Midnight-blue hoodie suits late walks through sleepy lanternlight.	午夜蓝连帽衫适合穿行于昏昏灯影下的深夜散步。	午夜蓝连帽衫适合穿行于昏昏灯影下的深夜散步。
cosmetic.Casual_Chest_26.name	Cosmetics	Navy Hoodie		海军蓝连帽衫
cosmetic.Casual_Chest_27.description	Cosmetics	Ivory bomber panels create a clean skyfarer cut.	象牙白飞行夹克甲片勾勒出利落的天行者剪裁。	象牙白飞行夹克甲片勾勒出利落的天行者剪裁。
cosmetic.Casual_Chest_27.name	Cosmetics	White Bomber Jacket		白色爆破夹克
cosmetic.Casual_Chest_28.description	Cosmetics	Coal-black fabric sharpens the jacket into tavern-door cool.	煤黑布料让这件夹克在酒馆门口显得格外潇洒。	煤黑布料让这件夹克在酒馆门口显得格外潇洒。
cosmetic.Casual_Chest_28.name	Cosmetics	Black Bomber Jacket		黑色爆破夹克
cosmetic.Casual_Chest_29.description	Cosmetics	Azure panels lend this bomber a breezy flight-school spirit.	蔚蓝甲片为这件飞行夹克注入轻快的飞行学院精神。	蔚蓝甲片为这件飞行夹克注入轻快的飞行学院精神。
cosmetic.Casual_Chest_29.name	Cosmetics	Blue Bomber Jacket		蓝色爆破夹克
cosmetic.Casual_Chest_3.description	Cosmetics	Plain white cotton carries the rare power of matching nearly everything.	朴素白棉拥有一种罕见力量：几乎能搭配任何东西。	朴素白棉拥有一种罕见力量：几乎能搭配任何东西。
cosmetic.Casual_Chest_3.name	Cosmetics	White T-Shirt		白色 T 恤
cosmetic.Casual_Chest_30.description	Cosmetics	Bold panelwork gives this bomber the swagger of a festival dare.	大胆拼接让这件飞行夹克充满接受节庆挑战的张扬气势。	大胆拼接让这件飞行夹克充满接受节庆挑战的张扬气势。
cosmetic.Casual_Chest_30.name	Cosmetics	Stylish Bomber Jacket		时尚飞行员夹克
cosmetic.Casual_Chest_31.description	Cosmetics	Umber linen keeps this shirt humble alongside any adventurer's kit.	棕褐亚麻让这件衬衫在任何冒险者装备旁都保持朴实。	棕褐亚麻让这件衬衫在任何冒险者装备旁都保持朴实。
cosmetic.Casual_Chest_31.name	Cosmetics	Brown Shirt		棕色衬衫
cosmetic.Casual_Chest_32.description	Cosmetics	Clear blue fabric suits slow mornings near sunlit shopfronts.	清澈蓝布料适合阳光店铺前的悠闲清晨。	清澈蓝布料适合阳光店铺前的悠闲清晨。
cosmetic.Casual_Chest_32.name	Cosmetics	Blue Shirt		蓝色衬衫
cosmetic.Casual_Chest_33.description	Cosmetics	White jersey hums with arena cheer through every stitch.	白色针织布料的每一道缝线都回荡着竞技场欢呼。	白色针织布料的每一道缝线都回荡着竞技场欢呼。
cosmetic.Casual_Chest_33.name	Cosmetics	White Jersey		白色球衣
cosmetic.Casual_Chest_35.description	Cosmetics	Crisp white broadcloth holds courtly manners better than most adventurers.	利落白色宽幅布比大多数冒险者更懂得维持宫廷礼仪。	利落白色宽幅布比大多数冒险者更懂得维持宫廷礼仪。
cosmetic.Casual_Chest_35.name	Cosmetics	Formal Shirt		正装衬衫
cosmetic.Casual_Chest_36.description	Cosmetics	Blue dress linen lends ceremony to a risky itinerary.	蓝色礼服亚麻为危险行程增添了几分仪式感。	蓝色礼服亚麻为危险行程增添了几分仪式感。
cosmetic.Casual_Chest_36.name	Cosmetics	Blue Formal Shirt		蓝色正装衬衫
cosmetic.Casual_Chest_37.description	Cosmetics	Trim seams give this shirt the poise of study-hall bravado.	收束整齐的接缝让这件衬衫带着课堂式的自信与风度。	收束整齐的接缝让这件衬衫带着课堂式的自信与风度。
cosmetic.Casual_Chest_37.name	Cosmetics	Smart Casual Shirt		商务休闲衬衫
cosmetic.Casual_Chest_38.description	Cosmetics	Golden uniform trim brings sunny discipline to academy halls.	金色制服饰边为学院大厅带来阳光般的纪律感。	金色制服饰边为学院大厅带来阳光般的纪律感。
cosmetic.Casual_Chest_38.name	Cosmetics	Yellow School Uniform Top		黄色校服上装
cosmetic.Casual_Chest_39.description	Cosmetics	Rose uniform fabric softens classroom order with gentle color.	玫瑰色制服布料以温柔色彩软化课堂秩序。	玫瑰色制服布料以温柔色彩软化课堂秩序。
cosmetic.Casual_Chest_39.name	Cosmetics	Pink School Uniform Top		粉色校服上装
cosmetic.Casual_Chest_40.description	Cosmetics	Black uniform panels make academy rules look strangely dramatic.	黑色制服甲片让学院规章显得莫名戏剧化。	黑色制服甲片让学院规章显得莫名戏剧化。
cosmetic.Casual_Chest_40.name	Cosmetics	Black School Uniform Top		黑色校服上装
cosmetic.Casual_Chest_41.description	Cosmetics	Blue academy twill preserves tradition across every seam.	蓝色学院斜纹布让传统延续在每一道缝线之间。	蓝色学院斜纹布让传统延续在每一道缝线之间。
cosmetic.Casual_Chest_41.name	Cosmetics	Blue School Uniform Top		蓝色校服上装
cosmetic.Casual_Chest_42.description	Cosmetics	Crisp blue lines place command at the center of this captain's coat.	利落蓝线将号令感置于这件船长外套的正中央。	利落蓝线将号令感置于这件船长外套的正中央。
cosmetic.Casual_Chest_42.name	Cosmetics	Captain Top		托普船长
cosmetic.Casual_Chest_43.description	Cosmetics	Striped sailor weave recalls salt air around a cheerful collar.	条纹水手布让欢快衣领周围仿佛仍带着海风。	条纹水手布让欢快衣领周围仿佛仍带着海风。
cosmetic.Casual_Chest_43.name	Cosmetics	Sailor Top		水手上衣
cosmetic.Casual_Chest_44.description	Cosmetics	Snow-white linen preserves formal manners through battlefield dust.	雪白亚麻即使穿过战场尘土，也依然维持正式礼仪。	雪白亚麻即使穿过战场尘土，也依然维持正式礼仪。
cosmetic.Casual_Chest_44.name	Cosmetics	White Dress Shirt		白色正装衬衫
cosmetic.Casual_Chest_45.description	Cosmetics	Golden dress silk brings candlelit warmth to formal attire.	金色礼服丝绸为正式装束带来烛光般的暖意。	金色礼服丝绸为正式装束带来烛光般的暖意。
cosmetic.Casual_Chest_45.name	Cosmetics	Yellow Dress Shirt		黄色正装衬衫
cosmetic.Casual_Chest_46.description	Cosmetics	Violet dress satin turns proper manners into evening finery.	紫罗兰礼服缎面将得体礼仪升华成夜晚盛装。	紫罗兰礼服缎面将得体礼仪升华成夜晚盛装。
cosmetic.Casual_Chest_46.name	Cosmetics	Purple Dress Shirt		紫色正装衬衫
cosmetic.Casual_Chest_49.description	Cosmetics	Blue ceremony robes hold the nervous pride of a scholar's final bow.	蓝色典礼长袍承载着学者谢幕时紧张而自豪的心情。	蓝色典礼长袍承载着学者谢幕时紧张而自豪的心情。
cosmetic.Casual_Chest_49.name	Cosmetics	Business Graduation Gown		商务毕业服
cosmetic.Casual_Chest_5.description	Cosmetics	Black cotton stays quietly useful beside louder gear.	黑棉安静实用，甘愿待在更加张扬的装备旁。	黑棉安静实用，甘愿待在更加张扬的装备旁。
cosmetic.Casual_Chest_5.name	Cosmetics	Black T-Shirt		黑色 T 恤
cosmetic.Casual_Chest_50.description	Cosmetics	Black scholar robes trail chalk smoke from experiments best left undocumented.	黑色学者长袍拖曳着那些最好永远不留记录的实验粉尘。	黑色学者长袍拖曳着那些最好永远不留记录的实验粉尘。
cosmetic.Casual_Chest_50.name	Cosmetics	Science Graduation Gown		科学毕业服
cosmetic.Casual_Chest_51.description	Cosmetics	Rescue-red canvas bears reflective striping through falling sparks.	救援红帆布在飞落火星中显露反光条纹。	救援红帆布在飞落火星中显露反光条纹。
cosmetic.Casual_Chest_51.name	Cosmetics	Firefighter Top		消防员上装
cosmetic.Casual_Chest_53.description	Cosmetics	Dust-wrapped cloth marks the wearer as trouble from the roadside.	尘土缠绕的布料标示着一名来自路边的麻烦人物。	尘土缠绕的布料标示着一名来自路边的麻烦人物。
cosmetic.Casual_Chest_53.name	Cosmetics	Bandit Top		盗匪上装
cosmetic.Casual_Chest_54.description	Cosmetics	Rich court brocade grants this coat a throne-room presence.	华贵宫廷织锦赋予这件外套王座厅般的存在感。	华贵宫廷织锦赋予这件外套王座厅般的存在感。
cosmetic.Casual_Chest_54.name	Cosmetics	Royal Coat		皇家外套
cosmetic.Casual_Chest_55.description	Cosmetics	Violet hex-thread winds through this robe with theatrical menace.	紫罗兰诅咒丝线穿过长袍，散发着夸张而危险的气息。	紫罗兰诅咒丝线穿过长袍，散发着夸张而危险的气息。
cosmetic.Casual_Chest_55.name	Cosmetics	Hexweaver Robe		织妖长袍
cosmetic.Casual_Chest_56.description	Cosmetics	Dark spellcloth frames bright trim around a coven-ready hood.	黑暗法术布料在适合女巫集会的兜帽周围勾勒出明亮饰边。	黑暗法术布料在适合女巫集会的兜帽周围勾勒出明亮饰边。
cosmetic.Casual_Chest_56.name	Cosmetics	Witch's Robe		女巫长袍
cosmetic.Casual_Chest_57.description	Cosmetics	Soft white fur turns this bunny top toward mischievous meadow spirit.	柔软白毛让这件兔兔上衣带上调皮的草原精灵气息。	柔软白毛让这件兔兔上衣带上调皮的草原精灵气息。
cosmetic.Casual_Chest_57.name	Cosmetics	Bunny Top		兔子上装
cosmetic.Casual_Chest_58.description	Cosmetics	Blue scales march across this dino top with ancient playground pride.	蓝色鳞片排列在这件恐龙上衣上，充满古老而童趣的骄傲。	蓝色鳞片排列在这件恐龙上衣上，充满古老而童趣的骄傲。
cosmetic.Casual_Chest_58.name	Cosmetics	Dino Top		恐龙上装
cosmetic.Casual_Chest_59.description	Cosmetics	Round ears crown this bear top with gentle forest bulk.	圆润熊耳为这件上衣带来温柔的森林厚重感。	圆润熊耳为这件上衣带来温柔的森林厚重感。
cosmetic.Casual_Chest_59.name	Cosmetics	Bear Top		熊上装
cosmetic.Casual_Chest_6.description	Cosmetics	Yellow cotton brings simple sunshine to any adventurer's kit.	黄色棉布为任何冒险装备增添朴素阳光。	黄色棉布为任何冒险装备增添朴素阳光。
cosmetic.Casual_Chest_6.name	Cosmetics	Yellow T-Shirt		黄色 T 恤
cosmetic.Casual_Chest_60.description	Cosmetics	Feline trim sets this neko top in a sly parlor mood.	猫科饰边让这件猫耳上衣带着狡黠的客厅氛围。	猫科饰边让这件猫耳上衣带着狡黠的客厅氛围。
cosmetic.Casual_Chest_60.name	Cosmetics	Neko Top		猫咪上装
cosmetic.Casual_Chest_61.description	Cosmetics	Winter colors wrap this top in gift-ribbon cheer.	冬日色彩将这件上衣包裹在礼物缎带般的欢乐中。	冬日色彩将这件上衣包裹在礼物缎带般的欢乐中。
cosmetic.Casual_Chest_61.name	Cosmetics	Festive Top		节日上装
cosmetic.Casual_Chest_62.description	Cosmetics	Red ringwear bears a bruiser's swagger under bright ropes.	红色擂台服饰在明亮围绳下展现拳手的张扬气势。	红色擂台服饰在明亮围绳下展现拳手的张扬气势。
cosmetic.Casual_Chest_62.name	Cosmetics	Red Boxing Top		红色拳击上衣
cosmetic.Casual_Chest_63.description	Cosmetics	Toothy blue fabric turns this shark top into oceanic menace.	露齿的蓝色布料让这件鲨鱼上衣散发海洋威胁。	露齿的蓝色布料让这件鲨鱼上衣散发海洋威胁。
cosmetic.Casual_Chest_63.name	Cosmetics	Shark Top		鲨鱼上装
cosmetic.Casual_Chest_64.description	Cosmetics	Padded leaguewear lends this top the nerve for heroic tackles.	加垫联赛服饰赋予这件上衣完成英雄式擒抱的胆量。	加垫联赛服饰赋予这件上衣完成英雄式擒抱的胆量。
cosmetic.Casual_Chest_64.name	Cosmetics	Football Top		足球上装
cosmetic.Casual_Chest_7.description	Cosmetics	Blue cotton rests calmly beside louder pieces.	蓝棉安静地陪伴在更张扬的服饰旁。	蓝棉安静地陪伴在更张扬的服饰旁。
cosmetic.Casual_Chest_7.name	Cosmetics	Blue T-Shirt		蓝色 T 恤
cosmetic.Casual_Chest_70.description	Cosmetics	Black formal cloth cuts a sharp figure through tavern chaos.	黑色正式布料在酒馆混乱中勾勒出利落身影。	黑色正式布料在酒馆混乱中勾勒出利落身影。
cosmetic.Casual_Chest_70.name	Cosmetics	Tuxedo Top		燕尾服上衣
cosmetic.Casual_Eyewear_10.description	Cosmetics	Violet lenses turn every glance into a little stage curse.	紫罗兰镜片让每一次目光都像一场小小的舞台诅咒。	紫罗兰镜片让每一次目光都像一场小小的舞台诅咒。
cosmetic.Casual_Eyewear_10.name	Cosmetics	Diva Shades		天后墨镜
cosmetic.Casual_Eyewear_13.description	Cosmetics	Grey snow lenses guard the eyes against whiteout glare.	灰色雪地镜片保护双眼免受白茫强光侵袭。	灰色雪地镜片保护双眼免受白茫强光侵袭。
cosmetic.Casual_Eyewear_13.name	Cosmetics	Snow Goggles		雪地护目镜
cosmetic.Casual_Eyewear_14.description	Cosmetics	Yellow dive glass keeps deep-water mysteries from winning the staring contest.	黄色潜水镜片让深水谜团无法赢下这场对视。	黄色潜水镜片让深水谜团无法赢下这场对视。
cosmetic.Casual_Eyewear_14.name	Cosmetics	Diver Goggles		潜水镜
cosmetic.Casual_Eyewear_15.description	Cosmetics	Heavy aviator lenses bear skyward scratches from reckless altitude dreams.	厚重飞行员镜片布满向往冒险高空留下的划痕。	厚重飞行员镜片布满向往冒险高空留下的划痕。
cosmetic.Casual_Eyewear_15.name	Cosmetics	Aviator Goggles		飞行员护目镜
cosmetic.Casual_Eyewear_17.description	Cosmetics	Red cloth hides enough face for roadside rumors to start.	红布遮住足够多的面容，让路边传闻有机会滋长。	红布遮住足够多的面容，让路边传闻有机会滋长。
cosmetic.Casual_Eyewear_17.name	Cosmetics	Red Bandit Mask		红色盗匪面具
cosmetic.Casual_Eyewear_3.description	Cosmetics	Round lenses frame the wearer like a poet avoiding rent.	圆形镜片勾勒出一名正在躲避房租的诗人气质。	圆形镜片勾勒出一名正在躲避房租的诗人气质。
cosmetic.Casual_Eyewear_3.name	Cosmetics	Hipster Specs		潮人眼镜
cosmetic.Casual_Eyewear_4.description	Cosmetics	Dark frames sharpen every look into tidy mischief.	黑色镜框让每一次目光都变成整齐利落的恶作剧。	黑色镜框让每一次目光都变成整齐利落的恶作剧。
cosmetic.Casual_Eyewear_4.name	Cosmetics	Stylish Specs		时尚眼镜
cosmetic.Casual_Eyewear_8.description	Cosmetics	Golden star rims turn subtlety into a lost cause.	金色星形镜框让“低调”彻底成为不可能。	金色星形镜框让“低调”彻底成为不可能。
cosmetic.Casual_Eyewear_8.name	Cosmetics	Star Glasses		明星眼镜
cosmetic.Casual_Feet_1.description	Cosmetics	Cobalt leather adds a dignified blue note to formal hems.	钴蓝皮革为正式衣摆增添高雅的蓝色点缀。	钴蓝皮革为正式衣摆增添高雅的蓝色点缀。
cosmetic.Casual_Feet_1.name	Cosmetics	Blue Dress Shoes		蓝色正装鞋
cosmetic.Casual_Feet_10.description	Cosmetics	White school soles keep academy uniforms crisp from heel to toe.	白色学院鞋底让制服从鞋跟到鞋尖都保持利落。	白色学院鞋底让制服从鞋跟到鞋尖都保持利落。
cosmetic.Casual_Feet_10.name	Cosmetics	White School Shoes		白色学院鞋
cosmetic.Casual_Feet_11.description	Cosmetics	Cream leather gives uniform days a softer classroom rhythm.	奶油色皮革为制服时光带来更柔和的课堂节奏。	奶油色皮革为制服时光带来更柔和的课堂节奏。
cosmetic.Casual_Feet_11.name	Cosmetics	Cream School Shoes		奶油色学校鞋
cosmetic.Casual_Feet_12.description	Cosmetics	Black dress shoes anchor court attire with quiet authority.	黑色礼鞋以安静权威稳住宫廷装束。	黑色礼鞋以安静权威稳住宫廷装束。
cosmetic.Casual_Feet_12.name	Cosmetics	Black Dress Shoes		黑色正装鞋
cosmetic.Casual_Feet_13.description	Cosmetics	Tan leather carries banquet manners over dusty roads.	棕褐皮革带着宴会礼仪踏过尘土道路。	棕褐皮革带着宴会礼仪踏过尘土道路。
cosmetic.Casual_Feet_13.name	Cosmetics	Tan Dress Shoes		棕褐色礼服鞋
cosmetic.Casual_Feet_14.description	Cosmetics	Amber shoes catch lamplight along careful dress hems.	琥珀色鞋履沿精致衣摆捕捉灯光。	琥珀色鞋履沿精致衣摆捕捉灯光。
cosmetic.Casual_Feet_14.name	Cosmetics	Amber Dress Shoes		琥珀正装鞋
cosmetic.Casual_Feet_15.description	Cosmetics	Chestnut shoes lend steady warmth to plain ceremony clothes.	栗色鞋履为朴素礼服带来沉稳暖意。	栗色鞋履为朴素礼服带来沉稳暖意。
cosmetic.Casual_Feet_15.name	Cosmetics	Brown Dress Shoes		棕色正装鞋
cosmetic.Casual_Feet_16.description	Cosmetics	Black patent shoes finish the tuxedo with severe ballroom discipline.	黑色漆皮鞋以严谨的舞厅纪律完成整套礼服。	黑色漆皮鞋以严谨的舞厅纪律完成整套礼服。
cosmetic.Casual_Feet_16.name	Cosmetics	Tuxedo Shoes		燕尾服鞋
cosmetic.Casual_Feet_17.description	Cosmetics	Violet boots cut a bold path through frost-touched streets.	紫罗兰长靴在霜寒街道上踏出大胆路线。	紫罗兰长靴在霜寒街道上踏出大胆路线。
cosmetic.Casual_Feet_17.name	Cosmetics	Violet Boots		紫罗兰长靴
cosmetic.Casual_Feet_18.description	Cosmetics	Black road boots favor firm footing over friendly conversation.	黑色行路靴重视稳固落脚，远胜友好交谈。	黑色行路靴重视稳固落脚，远胜友好交谈。
cosmetic.Casual_Feet_18.name	Cosmetics	Black Boots		黑色长靴
cosmetic.Casual_Feet_19.description	Cosmetics	Black canvas keeps movement light through ordinary errands.	黑色帆布让寻常差事中的动作保持轻盈。	黑色帆布让寻常差事中的动作保持轻盈。
cosmetic.Casual_Feet_19.name	Cosmetics	Black Sneakers		黑色运动鞋
cosmetic.Casual_Feet_2.description	Cosmetics	Green sneakers flash meadow color across nimble city stone.	绿色运动鞋在灵巧穿过城市石路时闪出草原色彩。	绿色运动鞋在灵巧穿过城市石路时闪出草原色彩。
cosmetic.Casual_Feet_2.name	Cosmetics	Green Sneakers		绿色运动鞋
cosmetic.Casual_Feet_20.description	Cosmetics	Red rescue boots brace through sparks from collapsing rafters.	红色救援靴稳稳撑过倒塌梁木间飞落的火星。	红色救援靴稳稳撑过倒塌梁木间飞落的火星。
cosmetic.Casual_Feet_20.name	Cosmetics	Firefighter Shoes		消防员鞋
cosmetic.Casual_Feet_21.description	Cosmetics	Grey high-tops hold a sporty profile with tavern-court ease.	灰色高帮鞋带着轻松的运动气质，游走在酒馆与球场之间。	灰色高帮鞋带着轻松的运动气质，游走在酒馆与球场之间。
cosmetic.Casual_Feet_21.name	Cosmetics	Grey High-Tops		灰色高帮鞋
cosmetic.Casual_Feet_22.description	Cosmetics	Lugged hiking soles bite into mud like old trail teeth.	厚齿徒步鞋底咬入泥泞，如同老路上的利齿。	厚齿徒步鞋底咬入泥泞，如同老路上的利齿。
cosmetic.Casual_Feet_22.name	Cosmetics	Hiking Boots		登山靴
cosmetic.Casual_Feet_23.description	Cosmetics	Forest boots carry leaf-dark dye through mossy footpaths.	森林靴携着深叶染色走过覆苔小径。	森林靴携着深叶染色走过覆苔小径。
cosmetic.Casual_Feet_23.name	Cosmetics	Forest Boots		森林长靴
cosmetic.Casual_Feet_24.description	Cosmetics	Iron-buckled boots make rough work feel nearly ceremonial.	铁扣长靴让粗重工作也显得近乎仪式化。	铁扣长靴让粗重工作也显得近乎仪式化。
cosmetic.Casual_Feet_24.name	Cosmetics	Heavy-Duty Boots		重型靴子
cosmetic.Casual_Feet_25.description	Cosmetics	Gilded royal shoes add courtly weight to every stride.	镀金皇家鞋履为每一步增添宫廷重量。	镀金皇家鞋履为每一步增添宫廷重量。
cosmetic.Casual_Feet_25.name	Cosmetics	Royal Shoes		皇家鞋
cosmetic.Casual_Feet_27.description	Cosmetics	Dust-dark shoes slip through alley shade like rehearsed trouble.	尘暗鞋履如同排练熟练的麻烦般滑入巷道阴影。	尘暗鞋履如同排练熟练的麻烦般滑入巷道阴影。
cosmetic.Casual_Feet_27.name	Cosmetics	Bandit Shoes		盗匪鞋
cosmetic.Casual_Feet_28.description	Cosmetics	Tall dress boots give formal clothes a roadworthy spine.	高筒礼靴为正式服装撑起一副适合远行的骨架。	高筒礼靴为正式服装撑起一副适合远行的骨架。
cosmetic.Casual_Feet_28.name	Cosmetics	Dress Boots		正装靴
cosmetic.Casual_Feet_29.description	Cosmetics	Brown pointed boots carve a witchy angle at the edge of sweeping hems.	棕色尖头靴在飘扬衣摆边缘勾勒出女巫般的锐利角度。	棕色尖头靴在飘扬衣摆边缘勾勒出女巫般的锐利角度。
cosmetic.Casual_Feet_29.name	Cosmetics	Brown Pointed Boots		棕色尖头靴子
cosmetic.Casual_Feet_3.description	Cosmetics	Yellow sneakers bring sunrise brightness to every quick-footed dash.	黄色运动鞋为每一次轻快冲刺带来日出般的明亮。	黄色运动鞋为每一次轻快冲刺带来日出般的明亮。
cosmetic.Casual_Feet_3.name	Cosmetics	Yellow Sneakers		黄色运动鞋
cosmetic.Casual_Feet_30.description	Cosmetics	Dark pointed boots hook the silhouette toward midnight spellwork.	深色尖头靴把整体轮廓勾向午夜法术的气息。	深色尖头靴把整体轮廓勾向午夜法术的气息。
cosmetic.Casual_Feet_30.name	Cosmetics	Dark Pointed Boots		深色尖头靴子
cosmetic.Casual_Feet_32.description	Cosmetics	Crooked brown shoes curl upward with cottage-born mischief.	歪曲的棕鞋向上卷起，带着乡间小屋式的恶作剧感。	歪曲的棕鞋向上卷起，带着乡间小屋式的恶作剧感。
cosmetic.Casual_Feet_32.name	Cosmetics	Brown Witch Shoes		棕色女巫鞋
cosmetic.Casual_Feet_33.description	Cosmetics	Violet witch shoes tap softly along forbidden study shelves.	紫罗兰女巫鞋轻轻踏过禁忌书架。	紫罗兰女巫鞋轻轻踏过禁忌书架。
cosmetic.Casual_Feet_33.name	Cosmetics	Violet Witch Shoes		紫罗兰女巫鞋
cosmetic.Casual_Feet_34.description	Cosmetics	Curled elf toes shine with winter-grove theatrics.	卷翘的精灵鞋尖闪耀着冬日林谷的戏剧气息。	卷翘的精灵鞋尖闪耀着冬日林谷的戏剧气息。
cosmetic.Casual_Feet_34.name	Cosmetics	Elf Shoes		精灵鞋
cosmetic.Casual_Feet_35.description	Cosmetics	Plush bunny paws turn each hop into meadow nonsense.	毛绒兔爪让每一次跳跃都充满草原式的胡闹。	毛绒兔爪让每一次跳跃都充满草原式的胡闹。
cosmetic.Casual_Feet_35.name	Cosmetics	Bunny Shoes		兔子鞋
cosmetic.Casual_Feet_36.description	Cosmetics	Blue dino soles stomp softly with nursery-age thunder.	蓝色恐龙鞋底以幼儿园般的雷声轻轻跺地。	蓝色恐龙鞋底以幼儿园般的雷声轻轻跺地。
cosmetic.Casual_Feet_36.name	Cosmetics	Dino Shoes		恐龙鞋
cosmetic.Casual_Feet_37.description	Cosmetics	Rounded bear paws turn every footfall into sleepy woodland weight.	圆润熊爪让每一步都带着困倦森林的重量。	圆润熊爪让每一步都带着困倦森林的重量。
cosmetic.Casual_Feet_37.name	Cosmetics	Bear Shoes		熊鞋
cosmetic.Casual_Feet_38.description	Cosmetics	Neko shoes pad over floors with parlor-cat stealth.	猫咪鞋悄然掠过地板，拥有客厅猫科生物般的潜行感。	猫咪鞋悄然掠过地板，拥有客厅猫科生物般的潜行感。
cosmetic.Casual_Feet_38.name	Cosmetics	Neko Shoes		猫咪鞋
cosmetic.Casual_Feet_39.description	Cosmetics	Winter slippers glow with hearthside ribbon cheer.	冬日拖鞋泛着炉边缎带般的欢乐光彩。	冬日拖鞋泛着炉边缎带般的欢乐光彩。
cosmetic.Casual_Feet_39.name	Cosmetics	Festive Slippers		节日拖鞋
cosmetic.Casual_Feet_4.description	Cosmetics	Orange sneakers race through market crowds like bottled sunset.	橙色运动鞋像被装进瓶中的夕阳般穿过市集人群。	橙色运动鞋像被装进瓶中的夕阳般穿过市集人群。
cosmetic.Casual_Feet_4.name	Cosmetics	Orange Sneakers		橙色运动鞋
cosmetic.Casual_Feet_40.description	Cosmetics	Reinforced dive soles cling to slick dock planks.	强化潜水鞋底牢牢抓住湿滑码头木板。	强化潜水鞋底牢牢抓住湿滑码头木板。
